 time,date,active,total_effected,recovered,death,negative,total_tests

0,02-03-2020,0,1,0,0,0,0
0,05-03-2020,0,2,0,0,0,0
0,10-03-2020,1,2,0,1,0,0
0,11-03-2020,5,6,0,1,0,0
0,13-03-2020,6,8,1,1,0,0
0,14-03-2020,16,18,1,1,0,0
0,15-03-2020,27,29,1,1,0,0
0,16-03-2020,35,38,1,2,0,0
0,17-03-2020,41,44,1,2,0,0
0,18-03-2020,51,54,1,2,0,0
0,19-03-2020,59,63,2,2,0,0
0,20-03-2020,74,79,2,3,0,0
0,21-03-2020,93,96,3,3,0,0
0,22-03-2020,108,115,3,4,0,0
0,23-03-2020,134,143,5,4,0,0
0,24-03-2020,159,170,6,5,0,0
0,25-03-2020,212,225,7,6,0,0
0,26-03-2020,257,275,8,10,0,0
0,27-03-2020,311,345,11,23,0,0
0,28-03-2020,365,402,12,25,0,0
0,29-03-2020,440,479,13,26,0,0
0,30-03-2020,508,556,15,33,0,0
0,31-03-2020,557,617,24,36,0,0
0,01-04-2020,586,654,29,39,0,0
0,02-04-2020,633,708,31,44,0,0
0,03-04-2020,686,791,57,48,0,0
0,04-04-2020,794,919,66,59,0,0
0,05-04-2020,875,1021,76,70,0,0
0,06-04-2020,959,1120,81,80,0,0
0,07-04-2020,1001,1184,93,90,0,0
0,08-04-2020,1085,1275,97,93,0,0
0,09-04-2020,1168,1374,109,97,0,0
0,10-04-2020,1219,1448,122,107,0,0
0,11-04-2020,1289,1545,145,111,0,0
0,12-04-2020,1366,1661,177,118,0,0
0,13-04-2020,1434,1763,203,126,0,0
0,14-04-2020,1545,1888,217,126,0,0
0,15-04-2020,1670,2024,229,127,0,0
0,16-04-2020,1904,2283,249,130,0,0
0,17-04-2020,2148,2564,281,135,0,0
0,18-04-2020,2232,2685,314,137,0,0
0,19-04-2020,2367,2855,327,141,0,0
0,20-04-2020,2553,3046,350,143,0,0
0,21-04-2020,2671,3209,393,145,0,0
0,22-04-2020,2880,3446,417,149,0,0
0,23-04-2020,2957,3568,456,155,0,0
0,24-04-2020,3114,3758,486,158,0,0
0,25-04-2020,3201,3897,537,159,0,0
0,26-04-2020,3311,4065,593,161,0,0
0,27-04-2020,3263,4120,695,162,0,0
0,28-04-2020,3309,4252,778,165,0,0
0,29-04-2020,3193,4289,928,168,0,0

16H00,30-04-2020,3269,4423,984,170,30418,34841

16H00,01-05-2020,3315,4569,1083,171,32437,37006

16H00,02-05-2020,3300,4729,1256,173,34638,39367

16H00,03-05-2020,3291,4903,1438,174,37209,42112

16H00,04-05-2020,3221,5053,1653,179,40249,45302


16H00,05-05-2020,3200,5219,1838,181,44351,49570


16H00,06-05-2020,3208,5408,2017,183,47550,52958

16H00,07-05-2020,3186,5548,2179,183,50944,56492

16H00,08-05-2020,3201,5711,2324,186,54160,59871

16H00,09-05-2020,3263,5910,2461,186,57149,63059

16H00,10-05-2020,3321,6063,2554,188,59861,65924

16H00,11-05-2020,3282,6281,2811,188,62699,68980

16H00,15-05-2020,3062,6652,3400,190,74964,81616

16H00,16-05-2020,3062,6741,3487,192,78263,85004


16H00,17-05-2020,3018,6870,3660,192,83087,89957


16H00,18-05-2020,3002,6952,3758,192,88584,95536


16H00,19-05-2020,2929,7023,3901,193,93344,100367

16H00,20-05-2020,2841,7133,4098,194,98871,106004

16H00,21-05-2020,2735,7211,4280,196,105786,112997

16H00,22-05-2020,2758,7332,4377,197,116070,123402


16H00,23-05-2020,2570,7406,4638,198,126155,133561



16H00,24-05-2020,2531,7433,4703,199,135449,142882

18H00,25-05-2020,2558,7532,4774,200,144671,152203

18H00,26-05-2020,2494,7577,4881,202,153788,161365


18H00,27-05-2020,2421,7601,4978,202,163112,170713

18H00,28-05-2020,2246,7643,5195,202,172546,180189

18H00,29-05-2020,2241,7714,5271,202,182347,190061

18H00,30-05-2020,2175,7780,5401,204,192218,199998

18H00,31-05-2020,2143,7807,5459,205,201332,209139

18H00,01-06-2020,1735,7833,5893,205,213721,221554

18H00,02-06-2020,1250,7866,6410,206,226785,234651

18H00,03-06-2020,850,7922,6866,206,239902,247824


18H00,04-06-2020,600,8003,7195,208,253007,261010

18H00,05-06-2020,595,8071,7268,208,267278,275349

18H00,06-06-2020,628,8151,7315,208,nan,nan

18H00,07-06-2020,562,8224,7364,208,nan,nan

18H00,08-06-2020,686,8302,7408,208,314401,322703

18H00,09-06-2020,734,8437,7493,210,331134,339571

18H00,10-06-2020,732,8508,7565,211,347543,356051

18H00,11-06-2020,743,8537,7583,211,364054,372591

18H00,12-06-2020,780,8610,7618,212,380532,389142

18H00,13-06-2020,784,8692,7696,212,397206,405898

18H00,14-06-2020,816,8793,7765,212,413727,422520

18H00,15-06-2020,845,8885,7828,212,430387,439272

18H00,16-06-2020,782,8931,7937,212,446837,455768



18H00,17-06-2020,791,8997,7993,213,462739,471736

18H00,19-06-2020,1283,9613,8117,213,496023,505636

18H00,20-06-2020,1403,9839,8223,213,512327,522166


18​H00,21-06-2020,1479,9977,8284,214,528214,538191

18​H00,22-06-2020,1592,10172,8366,214,546523,556695


18​H00,25-06-2020,2621,11338,8500,217,579063,590401

