date,BeniMellal_Khénifra,Casa_Settat,Daraa_tafilalet,Dakhla_Oued_EdDahab,Fès_meknes,Guelmim_OuedNoun,Laâyoune_Sakia_ElHamra,Marrakech_Safi,Oriental,Rabat_SaléKenitra,souss_massa,TangerTetouan_AlHoceima
01-05-2020,83,1157,546,2,573,29,4,1004,175,326,51,619
02-50-2020,83,1203,546,2,584,36,4,1059,175,329,51,657
03-05-2020,84,1265,548,2,619,39,4,1070,175,342,51,704
04-05-2020,85,1306,548,2,662,39,4,1076,175,375,51,730
05-05-2020,85,1362,551,2,665,39,4,1091,175,453,52,740
07-05-2020,92,1500,557,2,721,41,4,1139,175,480,57,780

08-05-2020,98,1541,557,2,722,43,4,1142,175,480,60,838

09-05-2020,104,1591,559,2,812,43,4,1176,176,502,67,874

10-05-2020,105,1622,559,2,855,43,4,1190,176,549,69,889


11-05-2020,107,1732,571,2,889,43,4,1206,176,578,71,902

15-05-2020,107,1882,585,2,928,43,4,1240,177,663,75,946

16-05-2020,109,1940,586,2,938,43,4,1255,178,663,75,948



17-05-2020,112,2039,586,2,945,43,4,1262,180,667,77,953


18-05-2020,112,2076,586,2,958,43,4,1281,179,668,77,966

19-05-2020,112,2120,586,2,960,43,4,1294,179,675,77,971

20-05-2020,113,2190,586,2,980,43,4,1296,180,680,78,981

21-05-2020,113,2242,586,5,984,43,4,1307,180,681,83,983

22-05-2020,113,2330,586,5,990,43,4,1310,180,687,85,999


23-05-2020,113,2385,586,5,992,43,4,1316,182,687,85,1008



24-05-2020,113,2397,586,5,994,43,4,1319,186,688,85,1013

25-05-2020,113,2458,586,5,995,43,4,1322,186,696,87,1037

26-05-2020,113,2495,586,5,995,43,4,1327,186,696,87,1040


27-05-2020,114,2507,586,5,997,43,4,1328,186,698,88,1045

28-05-2020,114,2521,586,5,1000,43,4,1329,186,700,88,1067

29-05-2020,114,2570,586,5,1000,43,4,1335,187,702,88,1080

30-05-2020,115,2619,586,5,1000,43,4,1337,187,702,88,1094

31-05-2020,116,2635,586,5,1001,43,5,1337,187,703,89,1100

01-06-2020,120,2650,586,5,1001,44,5,1339,187,703,89,1104

02-06-2020,120,2665,586,5,1001,45,5,1349,187,705,89,1109

03-06-2020,120,2684,586,5,1003,45,5,1362,187,711,89,1125


04-06-2020,120,2696,586,5,1017,45,5,1393,187,713,89,1147

05-06-2020,120,2714,586,5,1017,45,5,1424,193,718,89,1155

08-06-2020,127,2777,586,5,1027,46,5,1481,196,776,90,1186

09-06-2020,127,2856,586,5,1031,46,5,1496,196,778,90,1221

10-06-2020,127,2868,586,5,1031,46,5,1526,196,785,90,1243

11-06-2020,127,2878,586,5,1033,46,5,1536,196,786,90,1249

12-06-2020,127,2883,586,5,1042,46,5,1568,196,787,90,1275

13-06-2020,127,2893,586,5,1042,46,5,1579,197,788,90,1334

14-06-2020,129,2906,586,5,1054,48,5,1600,197,830,90,1343

15-06-2020,129,2911,586,5,1055,48,5,1612,197,895,90,1352

16-06-2020,129,2913,586,5,1061,48,5,1631,198,897,90,1368



17-06-2020,129,2946,586,5,1063,48,6,1650,199,897,90,1378

19-06-2020,130,2977,586,5,1077,49,7,1686,200,1373,90,1433

20-06-2020,130,2998,586,5,1088,53,7,1692,200,1529,90,1461



21-06-2020,131,3029,586,5,1101,54,44,1726,200,1535,90,1476

22-06-2020,135,3030,586,5,1113,54,45,1747,200,1639,90,1528

25-06-2020,144,3185,586,9,1157,69,274,1837,201,1901,90,1826


26-06-2020,148,3265,586,9,1173,70,285,1862,201,1917,90,2026

27-06-2020,150,3340,586,11,1196,71,347,1884,201,1922,90,2078

28-06-2020,151,3365,586,11,1209,75,390,1903,202,1934,91,2133

29-06-2020,152,3379,586,11,1247,75,457,1925,206,1953,92,2206

30-06-2020,152,3427,586,13,1252,75,529,1940,206,1964,92,2299

01-07-2020,152,3450,586,15,1291,75,535,1952,211,1972,92,2304

